ID,Up/Co,Sex,Friend,Source,Country,Age,Occupation,Marriage,Post_Type,Time
N-181,Up,F,N,Alumni,China,30,Lawyer,S,Opinion,8/11/2020
N-1,Both,F,A,Alumni,USA,32,Reseacher,S,Life,2/28/2021
N-57,Up,M,A,Alumni,China,30,NA,S,Life,6/9/2020
N-57,Up,M,A,Alumni,China,30,NA,S,Life,12/1/2020
N-90,Up,F,A,Family,China,60,NA,M,Life,5/10/2020
N-90,Up,F,A,Family,China,60,NA,M,Life,10/31/2020
N-156,Up,F,N,Church,USA,25,Student,S,Life,12/7/2019
N-156,Up,F,N,Church,USA,25,Student,S,Life,7/16/2021
N-156,Up,F,N,Church,USA,25,Student,S,Life,7/1/2021
N-156,Up,F,N,Church,USA,25,Student,S,Life,5/10/2020
N-109,Up,M,Y,Family,China,60,Engineer,M,Life,7/1/2021
N-109,Both,M,Y,Family,China,60,Engineer,M,Life,5/10/2020
N-109,Up,M,Y,Family,China,60,Engineer,M,Church,10/12/2020
N-109,Up,M,Y,Family,China,60,Engineer,M,Life,10/31/2020
N-109,Up,M,Y,Family,China,60,Engineer,M,Church,2/27/2020
N-109,Up,M,Y,Family,China,60,Engineer,M,Opinion,7/20/2020
N-109,Up,M,Y,Family,China,60,Engineer,M,Life,12/7/2019
N-109,Co,M,Y,Family,China,60,Engineer,M,Work,10/26/2020
N-69,Up,M,A,Church,China,35,Doctor,M,Work,10/26/2020
N-69,Up,M,A,Church,China,35,Doctor,M,Opinion,8/11/2020
N-69,Both,M,A,Church,China,35,Doctor,M,Life,5/10/2020
N-69,Up,M,A,Church,China,35,Doctor,M,Life,7/16/2021
N-69,Up,M,A,Church,China,35,Doctor,M,Life,10/31/2020
N-69,Co,M,A,Church,China,35,Doctor,M,Life,6/9/2020
N-69,Up,M,A,Church,China,35,Doctor,M,Church,10/12/2020
N-69,Up,M,A,Church,China,35,Doctor,M,Life,10/26/2019
N-221,Up,M,A,Alumni,China,35,Engineer,M,Life,10/26/2019
N-241,Up,M,N,Other,USA,30,Student,S,Life,7/1/2021
N-153,Co,M,A,Alumni,USA,35,Reseacher,M,Life,6/9/2020
N-229,Up,M,A,Alumni,USA,35,Reseacher,S,Life,10/26/2019
N-107,Up,M,A,Church,China,40,Manager,M,Life,10/31/2020
N-20,Up,F,A,Church,USA,32,Engineer,S,Life,5/10/2020
N-20,Co,F,A,Church,USA,32,Engineer,S,Life,2/28/2021
N-20,Co,F,A,Church,USA,32,Engineer,S,Life,12/7/2019
N-20,Co,F,A,Church,USA,32,Engineer,S,Life,7/1/2021
N-20,Co,F,A,Church,USA,32,Engineer,S,Life,7/16/2021
N-175,Up,F,N,Church,NA,28,Finance,S,Church,4/25/2020
N-204,Up,M,N,Other,China,30,Engineer,NA,Life,12/7/2019
N-145,Up,M,A,Alumni,USA,33,Engineer,M,Life,10/26/2019
N-145,Up,M,A,Alumni,USA,33,Engineer,M,Life,6/9/2020
N-145,Up,M,A,Alumni,USA,33,Engineer,M,Life,7/1/2021
N-147,Up,M,A,Alumni,China,25,Musician,S,Life,6/9/2020
N-177,Up,M,N,Church,USA,28,Engineer,S,Church,4/25/2020
N-177,Up,M,N,Church,USA,28,Engineer,S,Life,7/21/2021
N-77,Co,M,A,Alumni,USA,25,Student,S,Opinion,7/3/2020
N-77,Both,M,A,Alumni,USA,25,Student,S,Life,6/9/2020
N-77,Up,M,A,Alumni,USA,25,Student,S,Work,10/26/2020
N-77,Up,M,A,Alumni,USA,25,Student,S,Life,10/31/2020
N-31,Both,M,A,Church,USA,32,Reseacher,S,Work,10/26/2020
N-31,Both,M,A,Church,USA,32,Reseacher,S,Life,7/1/2021
N-31,Up,M,A,Church,USA,32,Reseacher,S,Church,2/27/2020
N-31,Up,M,A,Church,USA,32,Reseacher,S,Life,10/31/2020
N-31,Both,M,A,Church,USA,32,Reseacher,S,Life,6/9/2020
N-31,Up,M,A,Church,USA,32,Reseacher,S,Life,5/10/2020
N-31,Up,M,A,Church,USA,32,Reseacher,S,Life,12/7/2019
N-31,Up,M,A,Church,USA,32,Reseacher,S,Church,4/25/2020
